id,Boutique_name,user
71068,Lyle & Scott,kenechukwu
71067,Murphy & Nye,kenechukwu
71066,New Balance,kenechukwu
71069,North Sails,kenechukwu
71070,Norway 1963,kenechukwu
71072,Dior,kenechukwu
71071,Pal Zileri,kenechukwu
71075,Chanel,kenechukwu
71074,Diadora,kenechukwu
71078,Converse,kenechukwu
71086,Blugirl,kenechukwu
71088,Kappa,kenechukwu
71087,Kocca,kenechukwu
71090,Emporio Armani Watches,kenechukwu
71092,Karl Largerfeld Beachwear,kenechukwu
71093,C.P. Company,kenechukwu
71094,Max & Co,kenechukwu
71095,Sportmax,kenechukwu
71099,Karl Lagerfeld Beachwear,kenechukwu
71101,Just Cavalli Beachwear,kenechukwu
71103,Max Mara,kenechukwu
71107,Denny Rose,kenechukwu
71110,U.S. Grand Polo,kenechukwu
71115,Amiri,kenechukwu
71116,Thom Browne,kenechukwu
71134,Folli Follie,kenechukwu
71175,Ciesse Outdoor,kenechukwu
71176,Gaelle,kenechukwu
71174,Trussardi Action,kenechukwu
71177,Casadei,kenechukwu
71178,Paris Texas,kenechukwu
71179,Automobili Lamborghini,kenechukwu
71180,Chiara Ferragni,kenechukwu
71181,Hinnominate,kenechukwu
71182,Gran Sasso,kenechukwu
71184,EA7 Emporio Armani,kenechukwu
71188,Charles Philip,kenechukwu
71235,Sealup,kenechukwu
71247,Benetton,kenechukwu
71248,Woolrich,kenechukwu
71251,Philosophy,kenechukwu
71297,Marcelo Burlon,kenechukwu
71308,Ungaro,kenechukwu
71310,Invicta,kenechukwu
71311,Distretto12,kenechukwu
71312,KANGRA,kenechukwu
